,Location,Name,Rooms,Guests,Pets,Wifi,Free_parking,Refrigerator,Kitchen,Smoke_alarm,Cooling,Heating,TV,Bed_lines,Washer,Super_host,Price,Review_count,Total_rate
1122,Washington,Room in Washington,1,2,False,True,True,True,,True,True,True,True,True,,False,363,51,4.63
1123,Washington,Apartment in Washington,1,2,False,True,True,True,True,,True,True,True,,True,False,874,36,4.89
1124,Washington,Apartment in Washington,2,5,True,True,True,True,True,,True,True,True,,True,True,1446,100,4.78
1125,Takoma Park,Room in Takoma Park,1,1,,True,True,True,True,True,True,True,,True,,False,255,3,5.0
1126,Washington,Apartment in Washington,2,4,False,True,,True,True,,True,True,True,,True,True,1050,137,4.76
1127,Washington,Apartment in Washington,2,4,True,True,,True,True,,True,True,True,True,True,False,622,2,5.0
1128,Washington,Apartment in Washington,2,4,False,True,,True,True,,True,True,True,True,True,True,934,0,0.0
1129,Washington,Guest suite in Washington,2,4,False,True,,True,True,,True,True,True,True,,True,746,185,4.89
1130,Alexandria,Room in Alexandria,1,2,False,True,True,True,,True,True,True,True,True,,True,345,181,4.73
1131,Arlington,Room in Arlington,1,1,False,True,True,,,True,True,True,True,True,,True,391,83,4.81
1132,Washington,Guest suite in Washington,1,2,True,True,True,,True,,True,True,True,True,,False,536,155,4.74
1133,Washington,Room in Washington,1,1,False,True,True,True,True,True,True,True,True,True,True,True,283,7,4.71
1134,Takoma Park,Room in Takoma Park,1,1,,True,True,True,True,True,True,True,,True,,False,255,3,5.0
1135,Washington,Apartment in Washington,1,2,False,True,,,,,True,True,True,True,,False,465,4,4.75
1136,Washington,Apartment in Washington,2,4,True,True,,True,True,,True,True,True,True,True,False,622,2,5.0
1137,Washington,Guest suite in Washington,2,4,False,True,True,True,True,,True,True,True,True,True,False,733,62,4.65
1138,Washington,Apartment in Washington,1,2,True,True,True,True,True,,True,True,True,True,,False,748,27,4.56
1139,Washington,Apartment in Washington,1,2,False,True,True,True,True,,True,True,True,,True,False,874,36,4.89
1140,Washington,Room in Washington,1,2,False,True,True,True,,True,True,True,True,True,,False,363,51,4.63
1141,Washington,Room in Washington,1,2,False,True,True,True,True,,True,,True,,True,False,590,10,4.1
1142,Washington,Room in Washington,1,2,False,True,True,True,True,True,True,True,True,True,True,False,426,219,4.59
1143,Washington,Apartment in Washington,1,2,True,True,True,True,True,,True,True,True,True,True,True,1018,104,4.74
1144,Washington,Room in Washington,1,1,False,True,True,True,True,True,True,True,True,True,True,True,283,7,4.71
1145,Washington,Place to stay in Washington,1,1,False,True,True,True,,,True,True,True,True,,True,246,23,4.96
1146,Washington,Apartment in Washington,2,3,True,True,,True,True,,True,True,True,True,True,False,630,7,4.43
1147,Washington,Guest suite in Washington,2,4,False,True,,True,True,,True,True,True,True,,True,746,185,4.89
1148,Capitol Heights,Condo in Capitol Heights,1,2,False,True,True,True,True,,True,True,True,True,,True,386,11,4.82
1149,Arlington,Room in Arlington,1,1,False,True,True,,,True,True,True,True,True,,True,391,83,4.81
1150,Washington,Guest suite in Washington,1,2,True,True,True,,True,,True,True,True,True,,False,536,155,4.74
1151,Washington,Apartment in Washington,2,4,False,True,,True,True,,True,True,True,True,True,True,934,0,0.0
1152,Washington,Room in Washington,1,2,False,True,True,True,True,,True,,True,,True,False,590,10,4.1
1153,Washington,Apartment in Washington,1,2,True,True,True,True,True,,True,True,True,True,,False,748,27,4.56
1154,Washington,Guest suite in Washington,2,4,False,True,True,True,True,,True,True,True,True,True,False,733,62,4.65
1155,Washington,Apartment in Washington,1,2,False,True,,,,,True,True,True,True,,False,465,4,4.75
1156,Washington,Apartment in Washington,1,2,True,True,True,True,True,,True,True,True,True,True,True,1018,104,4.74
1157,Washington,Room in Washington,1,2,False,True,True,True,True,True,True,True,True,True,True,False,426,219,4.59
1158,Washington,Apartment in Washington,1,2,False,True,True,True,True,,True,True,True,,True,False,874,36,4.89
1159,Washington,Room in Washington,1,2,False,True,True,True,,True,True,True,True,True,,False,363,51,4.63
1160,Washington,Apartment in Washington,2,4,False,True,,True,True,,True,True,True,,True,True,1050,137,4.76
1161,Washington,Apartment in Washington,2,4,True,True,,True,True,,True,True,True,True,True,False,622,2,5.0
1162,Washington,Apartment in Washington,2,4,False,True,,True,True,,True,True,True,True,True,True,934,0,0.0
1163,Washington,Apartment in Washington,2,5,True,True,True,True,True,,True,True,True,,True,True,1446,100,4.78
1164,Washington,Guest suite in Washington,2,4,False,True,,True,True,,True,True,True,True,,True,746,185,4.89
1165,Takoma Park,Room in Takoma Park,1,1,,True,True,True,True,True,True,True,,True,,False,255,3,5.0
1166,Alexandria,Apartment in Alexandria,1,6,False,True,True,True,True,,True,True,True,True,True,False,881,131,4.79
1167,Alexandria,Room in Alexandria,1,2,False,True,True,True,,True,True,True,True,True,,True,345,181,4.73
1168,Washington,Apartment in Washington,2,3,True,True,,True,True,,True,True,True,True,True,False,630,7,4.43
1169,Arlington,Room in Arlington,1,1,False,True,True,,,True,True,True,True,True,,True,391,83,4.81
1170,Washington,Apartment in Northeast Washington,1,2,False,True,,,,,True,True,True,True,,False,487,4,4.5
1171,Washington,Guest suite in Capitol Hill,2,4,False,True,True,True,True,,True,True,True,True,True,False,733,62,4.65
